; Number of ROIs: 4
; File Dimension: 2000 x 2000
;
; ROI name: Water
; ROI rgb value: {0, 0, 255}
; ROI npts: 651
;
; ROI name: Vegetation
; ROI rgb value: {0, 255, 0}
; ROI npts: 1943
;
; ROI name: Desert
; ROI rgb value: {255, 255, 0}
; ROI npts: 1010
;
; ROI name: Urban
; ROI rgb value: {255, 0, 0}
; ROI npts: 721
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1, B2, B3, B4, B5, B6, B7, B8, B9, B10
;
  377,   197,  173565.0000,  3438135.0000,  31.03165007,  29.58044520,  -0.453866,  0.612496,  -0.342358,  0.142438,  0.119631,  0.064942,  0.031855,  0.015606,  0.005862,  0.003721
  378,   197,  173595.0000,  3438135.0000,  31.03165839,  29.58075899,  -0.469641,  0.607934,  -0.336689,  0.143348,  0.120460,  0.065102,  0.031989,  0.015874,  0.005729,  0.003667
  379,   197,  173625.0000,  3438135.0000,  31.03166671,  29.58107278,  -0.463354,  0.611221,  -0.338202,  0.143642,  0.121424,  0.065343,  0.031882,  0.015767,  0.005782,  0.003748
  380,   197,  173655.0000,  3438135.0000,  31.03167503,  29.58138657,  -0.467662,  0.603894,  -0.338194,  0.142224,  0.118854,  0.063951,  0.031935,  0.015794,  0.005729,  0.003774
  381,   197,  173685.0000,  3438135.0000,  31.03168336,  29.58170036,  -0.476847,  0.606798,  -0.338936,  0.142384,  0.119256,  0.064540,  0.031989,  0.015794,  0.005595,  0.003801
  382,   197,  173715.0000,  3438135.0000,  31.03169168,  29.58201415,  -0.475827,  0.617288,  -0.343520,  0.144204,  0.121504,  0.065611,  0.031775,  0.015526,  0.005514,  0.003748
  383,   197,  173745.0000,  3438135.0000,  31.03169999,  29.58232794,  -0.473685,  0.625204,  -0.350311,  0.143776,  0.122361,  0.066628,  0.031935,  0.015365,  0.005488,  0.003721
  384,   197,  173775.0000,  3438135.0000,  31.03170831,  29.58264173,  -0.484587,  0.608455,  -0.319005,  0.142866,  0.120969,  0.066200,  0.031213,  0.016115,  0.005595,  0.003641
  385,   197,  173805.0000,  3438135.0000,  31.03171663,  29.58295552,  -0.479554,  0.607753,  -0.327703,  0.144017,  0.120594,  0.065504,  0.031561,  0.015981,  0.005621,  0.003721
  386,   197,  173835.0000,  3438135.0000,  31.03172495,  29.58326931,  -0.478150,  0.620713,  -0.341729,  0.143321,  0.120112,  0.065771,  0.031373,  0.015392,  0.005434,  0.003614
  387,   197,  173865.0000,  3438135.0000,  31.03173326,  29.58358310,  -0.476612,  0.611702,  -0.331808,  0.142143,  0.119068,  0.064888,  0.031159,  0.015633,  0.005541,  0.003694
  388,   197,  173895.0000,  3438135.0000,  31.03174158,  29.58389689,  -0.457712,  0.616115,  -0.331432,  0.144365,  0.122093,  0.066039,  0.031239,  0.015687,  0.005836,  0.003828
  389,   197,  173925.0000,  3438135.0000,  31.03174990,  29.58421069,  -0.469697,  0.624274,  -0.332186,  0.147069,  0.126135,  0.067351,  0.031079,  0.015580,  0.005621,  0.003748
  390,   197,  173955.0000,  3438135.0000,  31.03175821,  29.58452448,  -0.476612,  0.622617,  -0.332953,  0.145918,  0.125814,  0.067217,  0.031239,  0.015633,  0.005541,  0.003560
  391,   197,  173985.0000,  3438135.0000,  31.03176652,  29.58483827,  -0.488432,  0.623904,  -0.339418,  0.145489,  0.124101,  0.066922,  0.031427,  0.015499,  0.005327,  0.003721
  392,   197,  174015.0000,  3438135.0000,  31.03177484,  29.58515206,  -0.465969,  0.632787,  -0.354839,  0.145382,  0.124208,  0.066655,  0.031480,  0.014991,  0.005461,  0.003667
  393,   197,  174045.0000,  3438135.0000,  31.03178315,  29.58546585,  -0.490957,  0.619268,  -0.344691,  0.144017,  0.121183,  0.065691,  0.031694,  0.015446,  0.005273,  0.003828
  394,   197,  174075.0000,  3438135.0000,  31.03179146,  29.58577964,  -0.461639,  0.618466,  -0.358081,  0.140939,  0.117221,  0.063817,  0.031828,  0.015044,  0.005541,  0.003533
  395,   197,  174105.0000,  3438135.0000,  31.03179977,  29.58609344,  -0.481013,  0.603390,  -0.344171,  0.140510,  0.116097,  0.063309,  0.032096,  0.015660,  0.005488,  0.003533
  396,   197,  174135.0000,  3438135.0000,  31.03180808,  29.58640723,  -0.490543,  0.608868,  -0.332957,  0.141688,  0.118372,  0.065075,  0.031614,  0.015820,  0.005407,  0.003908
  397,   197,  174165.0000,  3438135.0000,  31.03181639,  29.58672102,  -0.465474,  0.616081,  -0.345517,  0.140216,  0.117435,  0.064567,  0.031534,  0.015339,  0.005595,  0.003774
  398,   197,  174195.0000,  3438135.0000,  31.03182469,  29.58703481,  -0.486726,  0.609692,  -0.335593,  0.141983,  0.118346,  0.064915,  0.031641,  0.015740,  0.005434,  0.003587
  399,   197,  174225.0000,  3438135.0000,  31.03183300,  29.58734861,  -0.478710,  0.619016,  -0.339862,  0.142491,  0.119550,  0.065182,  0.031132,  0.015339,  0.005407,  0.003641
  377,   198,  173565.0000,  3438105.0000,  31.03137986,  29.58045486,  -0.465202,  0.607971,  -0.334812,  0.143642,  0.120969,  0.065878,  0.032230,  0.016061,  0.005862,  0.003614
  378,   198,  173595.0000,  3438105.0000,  31.03138818,  29.58076865,  -0.497537,  0.606473,  -0.328548,  0.144338,  0.121879,  0.066441,  0.032203,  0.016276,  0.005461,  0.003748
  379,   198,  173625.0000,  3438105.0000,  31.03139650,  29.58108244,  -0.471237,  0.608342,  -0.331480,  0.144097,  0.121906,  0.066066,  0.032042,  0.016088,  0.005782,  0.003587
  380,   198,  173655.0000,  3438105.0000,  31.03140482,  29.58139623,  -0.475656,  0.607830,  -0.334460,  0.143000,  0.120139,  0.064861,  0.031721,  0.015820,  0.005621,  0.003801
  381,   198,  173685.0000,  3438105.0000,  31.03141314,  29.58171002,  -0.461347,  0.611406,  -0.337104,  0.143268,  0.120514,  0.065049,  0.031641,  0.015687,  0.005782,  0.003694
  382,   198,  173715.0000,  3438105.0000,  31.03142146,  29.58202381,  -0.466328,  0.619142,  -0.343572,  0.143883,  0.121183,  0.065664,  0.031614,  0.015446,  0.005621,  0.003828
  383,   198,  173745.0000,  3438105.0000,  31.03142978,  29.58233760,  -0.464789,  0.625041,  -0.349261,  0.143856,  0.121344,  0.066360,  0.031748,  0.015312,  0.005595,  0.003587
  384,   198,  173775.0000,  3438105.0000,  31.03143810,  29.58265139,  -0.465146,  0.624919,  -0.344300,  0.144793,  0.122334,  0.067029,  0.031721,  0.015472,  0.005648,  0.003801
  385,   198,  173805.0000,  3438105.0000,  31.03144642,  29.58296518,  -0.479141,  0.621237,  -0.336359,  0.144954,  0.123458,  0.067029,  0.031534,  0.015660,  0.005514,  0.003667
  386,   198,  173835.0000,  3438105.0000,  31.03145474,  29.58327897,  -0.489200,  0.620344,  -0.332574,  0.145007,  0.123699,  0.066949,  0.031320,  0.015687,  0.005381,  0.003533
  387,   198,  173865.0000,  3438105.0000,  31.03146305,  29.58359276,  -0.478482,  0.617926,  -0.332190,  0.145007,  0.122896,  0.066200,  0.031186,  0.015633,  0.005514,  0.003587
  388,   198,  173895.0000,  3438105.0000,  31.03147137,  29.58390655,  -0.473283,  0.621197,  -0.338664,  0.144686,  0.122441,  0.066333,  0.031373,  0.015499,  0.005541,  0.003533
  389,   198,  173925.0000,  3438105.0000,  31.03147968,  29.58422034,  -0.479382,  0.623360,  -0.341743,  0.144579,  0.123405,  0.066226,  0.031320,  0.015365,  0.005407,  0.003480
  390,   198,  173955.0000,  3438105.0000,  31.03148800,  29.58453413,  -0.474620,  0.614594,  -0.337137,  0.144044,  0.121130,  0.065156,  0.031373,  0.015553,  0.005541,  0.003748
  391,   198,  173985.0000,  3438105.0000,  31.03149631,  29.58484792,  -0.476612,  0.609887,  -0.335986,  0.142786,  0.119657,  0.064513,  0.031454,  0.015633,  0.005541,  0.003667
  392,   198,  174015.0000,  3438105.0000,  31.03150462,  29.58516171,  -0.468514,  0.607011,  -0.337124,  0.141447,  0.117516,  0.063817,  0.031480,  0.015606,  0.005648,  0.003641
  393,   198,  174045.0000,  3438105.0000,  31.03151293,  29.58547550,  -0.465982,  0.611036,  -0.345184,  0.139921,  0.115776,  0.063309,  0.031400,  0.015285,  0.005568,  0.003855
  394,   198,  174075.0000,  3438105.0000,  31.03152124,  29.58578930,  -0.460235,  0.621622,  -0.355581,  0.140028,  0.115856,  0.064246,  0.031534,  0.014991,  0.005541,  0.003667
  395,   198,  174105.0000,  3438105.0000,  31.03152956,  29.58610309,  -0.470818,  0.624628,  -0.351259,  0.141153,  0.118506,  0.065691,  0.031614,  0.015178,  0.005461,  0.003453
